restaurant_id,restaurant_name,review,label
724217,"투썸플레이스","매장이 좀 좁긴 한데 맛으로 커버되는 곳이에요.",positive
724217,"투썸플레이스","손이 많이 간 게 느껴지는 정성스러운 맛이었어요.",positive
724217,"투썸플레이스","지금까지 가본 곳 중에 손에 꼽을 정도로 좋았어요.",positive
724217,"투썸플레이스","평범하지만 실패 없는 맛이었어요.",positive
724217,"투썸플레이스","리뷰 보고 갔는데 기대 이상이었습니다, 완전 만족.",positive
724217,"투썸플레이스","친구들한테 자신있게 추천할 수 있는 곳이에요.",positive
724217,"투썸플레이스","친구들한테 자신있게 추천할 수 있는 곳이에요.",positive
724217,"투썸플레이스","이 정도면 미슐랭감이라고 생각합니다.",positive
724217,"투썸플레이스","회전율 때문인지 재촉받는 느낌이었습니다.",negative
724217,"투썸플레이스","먹자마자 감탄했습니다, 정말 훌륭해요.",positive
724217,"투썸플레이스","리뷰 보고 갔는데 기대 이상이었습니다, 완전 만족.",positive
724217,"투썸플레이스","전체적으로 만족스러운 경험이었어요.",positive
724217,"투썸플레이스","친구들한테 자신있게 추천할 수 있는 곳이에요.",positive
724217,"투썸플레이스","웨이팅도 길고 맛도 별로라 비추천합니다.",negative
724217,"투썸플레이스","생각보다 짜고 간이 안 맞았어요.",negative
720155,"커피빈신논현역2번출구점","먹자마자 감탄했습니다, 정말 훌륭해요.",positive
720155,"커피빈신논현역2번출구점","다른 곳이랑 비교하면 아쉬운 편이에요.",negative
720155,"커피빈신논현역2번출구점","맛있게 잘 먹었습니다. 괜찮아요.",positive
720155,"커피빈신논현역2번출구점","매번 갈 때마다 실망시키지 않는 곳입니다.",positive
720155,"커피빈신논현역2번출구점","회전율 때문인지 재촉받는 느낌이었습니다.",negative
720155,"커피빈신논현역2번출구점","직원 응대가 다소 아쉬웠어요.",negative
720155,"커피빈신논현역2번출구점","가격은 비싸지만 음식은 괜찮았습니다.",positive
720155,"커피빈신논현역2번출구점","재료도 신선하고 사장님도 친절하세요. 최고!",positive
720155,"커피빈신논현역2번출구점","정말 최고예요! 다음에 또 올 거예요.",positive
720155,"커피빈신논현역2번출구점","기본은 하는데 감동은 없었어요.",negative
720155,"커피빈신논현역2번출구점","가격 대비 최악의 경험이었어요.",negative
720155,"커피빈신논현역2번출구점","다시는 이 근처도 안 올 것 같아요.",negative
720155,"커피빈신논현역2번출구점","회식 장소로 이만한 곳이 없어요, 다들 좋아했습니다.",positive
720155,"커피빈신논현역2번출구점","분위기는 평범했지만 맛은 훌륭했어요.",positive
720155,"커피빈신논현역2번출구점","기본은 하는데 감동은 없었어요.",negative
445666,"M3레드펍","특별한 감동은 없었지만 꾸준히 갈 만해요.",positive
445666,"M3레드펍","돈 주고 이런 대접 받은 건 처음이에요.",negative
445666,"M3레드펍","손이 많이 간 게 느껴지는 정성스러운 맛이었어요.",positive
445666,"M3레드펍","전체적으로 만족스러운 경험이었어요.",positive
445666,"M3레드펍","서비스가 좀 느린 편이에요.",negative
445666,"M3레드펍","재료도 신선하고 사장님도 친절하세요. 최고!",positive
445666,"M3레드펍","직원은 친절했지만 음식은 제 취향이 아니었습니다.",negative
445666,"M3레드펍","서비스가 좀 느린 편이에요.",negative
445666,"M3레드펍","분위기도 좋고 맛도 최고, 데이트 코스로 딱이에요.",positive
